,0,1,2,3
0,1.988428582504528e+30,116783.3859778064,9.997654695632339e+18,0.0
1,1.9884285825522515e+30,116793.03220435049,7.288422634730975e+18,0.0
2,1.9884285823125832e+30,116755.52592228637,2.0901515852504044e+19,0.0
3,1.9884285822717262e+30,116750.83322418875,2.3223701265505427e+19,0.0
4,1.9884285823493607e+30,116760.02534520596,1.881152365788231e+19,0.0
5,1.9884285824390884e+30,116772.44179996004,1.3713921379266945e+19,0.0
6,1.9884285825650924e+30,116795.98629692858,6.559616851174271e+18,0.0
7,1.9884285826048457e+30,116806.63418818182,4.3038508830405745e+18,0.0
8,1.9884285825766503e+30,116798.81863123877,5.903686644176067e+18,0.0
9,1.9884285825379855e+30,116789.95112642221,8.09820039812057e+18,0.0
10,1.9884285826254054e+30,116813.52246227518,3.137547975032636e+18,0.0
11,1.9884285826614435e+30,116831.10326542977,1.0940315341615656e+18,0.0
12,1.988428582635916e+30,116817.65432205178,2.5414336249102387e+18,0.0
13,1.9884285826254054e+30,116813.52246227518,3.137547975032636e+18,0.0
14,1.9884285825221362e+30,116786.73761229044,8.997946004699514e+18,0.0
15,1.9884285824390884e+30,116772.44179996004,1.3713921379266945e+19,0.0
16,1.9884285826480614e+30,116823.23490150733,1.8527245727738004e+18,0.0
17,1.988428582669348e+30,116837.47748555496,6.460224302607286e+17,0.0
18,1.9884285825650924e+30,116795.98629692858,6.559616851174271e+18,0.0
19,1.9884285825650924e+30,116795.98629692858,6.559616851174271e+18,0.0
20,1.9884285825221362e+30,116786.73761229044,8.997946004699514e+18,0.0
21,1.9884285824849658e+30,116779.89029560085,1.1108432106048289e+19,0.0
22,1.9884285824390884e+30,116772.44179996004,1.3713921379266945e+19,0.0
23,1.988428582644431e+30,116821.45246805986,2.058575952521091e+18,0.0
24,1.9884285823824658e+30,116764.33943801744,1.6930508831075381e+19,0.0
25,1.9884285825766503e+30,116798.81863123877,5.903686644176067e+18,0.0
26,1.9884285823125832e+30,116755.52592228637,2.0901515852504044e+19,0.0
27,1.9884285826192597e+30,116811.32233376712,3.486149979487558e+18,0.0
28,1.9884285825379855e+30,116789.95112642221,8.09820039812057e+18,0.0
29,1.9884285825766503e+30,116798.81863123877,5.903686644176067e+18,0.0
30,1.9884285825964175e+30,116804.13786899838,4.782034065454195e+18,0.0
