,0,1,2,3
0,6.01107183011477e+30,5918084.044884487,1.661784791768475e+20,0.0
1,6.014453029496688e+30,5972695.152718601,7.964067383894334e+19,0.0
2,6.007783033567314e+30,5879474.739968258,2.5292618079489285e+20,0.0
3,6.009588824399657e+30,5899526.814887167,2.0501999153766957e+20,0.0
4,6.015762715302085e+30,6003395.460827081,4.707944805209413e+19,0.0
5,6.015316492563164e+30,5991846.225511645,5.8098431201069466e+19,0.0
6,6.014453029496688e+30,5972695.152718601,7.964067383894334e+19,0.0
7,6.01228848281974e+30,5935249.302901699,1.3468869498956074e+20,0.0
8,6.016666653047539e+30,6032952.661967221,2.5046753860937822e+19,0.0
9,6.013714355793105e+30,5958597.869055404,9.827146862582135e+19,0.0
10,6.012811904054108e+30,5943340.480373938,1.2125551260271749e+20,0.0
11,6.01228848281974e+30,5935249.302901699,1.3468869498956074e+20,0.0
12,6.015954111195525e+30,6008831.517258787,4.237985480374223e+19,0.0
13,6.005586655122874e+30,5857818.932316519,3.1200802073192366e+20,0.0
14,6.006738405158427e+30,5868854.346561475,2.809202754068653e+20,0.0
15,6.01228848281974e+30,5935249.302901699,1.3468869498956074e+20,0.0
16,6.017025138014303e+30,6049019.913837977,1.6442728256101835e+19,0.0
17,6.01107183011477e+30,5918084.044884487,1.661784791768475e+20,0.0
18,6.009588824399657e+30,5899526.814887167,2.0501999153766957e+20,0.0
19,6.008730225088642e+30,5889694.296052041,2.2771838111614874e+20,0.0
20,6.017687774892719e+30,6110477.104661111,8.62435120140031e+17,0.0
21,6.017349614994914e+30,6068695.268849202,8.744552381821258e+18,0.0
22,6.017450370817029e+30,6076857.600916444,6.376656256480266e+18,0.0
23,6.016864205826186e+30,6041313.1921121245,2.02940084040304e+19,0.0
24,6.005586655122874e+30,5857818.932316519,3.1200802073192366e+20,0.0
25,6.007783033567314e+30,5879474.739968258,2.5292618079489285e+20,0.0
26,6.016948797412611e+30,6045245.097877671,1.826720488329366e+19,0.0
27,6.017094024852355e+30,6052643.717549747,1.4800393828153938e+19,0.0
28,6.015057161875266e+30,5985715.428251033,6.453945105232895e+19,0.0
29,6.007783033567314e+30,5879474.739968258,2.5292618079489285e+20,0.0
30,6.014453029496688e+30,5972695.152718601,7.964067383894334e+19,0.0
31,6.013285655400123e+30,5951119.590665737,1.0916083913275595e+20,0.0
32,6.012811904054108e+30,5943340.480373938,1.2125551260271749e+20,0.0
33,6.015057161875266e+30,5985715.428251033,6.453945105232895e+19,0.0
34,6.010366904504607e+30,5908985.716527723,1.8458158554985408e+20,0.0
35,6.015550889914525e+30,5997736.583679496,5.2299763226291634e+19,0.0
36,6.014770296074528e+30,5979334.928942936,7.169389221579923e+19,0.0
37,6.016283206200113e+30,6019068.363432242,3.434041876268193e+19,0.0
38,6.014102206956836e+30,5965786.205869841,8.846742977958134e+19,0.0
39,6.015316492563164e+30,5991846.225511645,5.8098431201069466e+19,0.0
40,6.013714355793105e+30,5958597.869055404,9.827146862582135e+19,0.0
41,6.014453029496688e+30,5972695.152718601,7.964067383894334e+19,0.0
42,6.014453029496688e+30,5972695.152718601,7.964067383894334e+19,0.0
43,6.011710316317055e+30,5926834.472029937,1.496082828965845e+20,0.0
44,6.016424264472145e+30,6023885.049677355,3.0911769230487618e+19,0.0
45,6.017156179134622e+30,6056122.366980544,1.332202887593323e+19,0.0
46,6.017450370817029e+30,6076857.600916444,6.376656256480266e+18,0.0
47,6.01228848281974e+30,5935249.302901699,1.3468869498956074e+20,0.0
48,6.017308463404362e+30,6065742.815780126,9.71513389714439e+18,0.0
49,6.013285655400123e+30,5951119.590665737,1.0916083913275595e+20,0.0
50,6.01107183011477e+30,5918084.044884487,1.661784791768475e+20,0.0
51,6.015954111195525e+30,6008831.517258787,4.237985480374223e+19,0.0
52,6.015316492563164e+30,5991846.225511645,5.8098431201069466e+19,0.0
53,6.014770296074528e+30,5979334.928942936,7.169389221579923e+19,0.0
54,6.009588824399657e+30,5899526.814887167,2.0501999153766957e+20,0.0
55,6.014453029496688e+30,5972695.152718601,7.964067383894334e+19,0.0
56,6.016666653047539e+30,6032952.661967221,2.5046753860937822e+19,0.0
57,6.017477579083236e+30,6079361.716654416,5.739508903656227e+18,0.0
58,6.009588824399657e+30,5899526.814887167,2.0501999153766957e+20,0.0
59,6.010366904504607e+30,5908985.716527723,1.8458158554985408e+20,0.0
60,6.012811904054108e+30,5943340.480373938,1.2125551260271749e+20,0.0
61,6.01228848281974e+30,5935249.302901699,1.3468869498956074e+20,0.0
