,0,1,2,3
0,1.9884285826804636e+30,116863.73470655039,140914608344585.44,0.0
1,1.988428582491482e+30,116869.08705570502,276037306520453.38,0.0
2,1.98842858268029e+30,116863.7420950462,139856381103199.03,0.0
3,1.9884285826789406e+30,116863.76735120633,143878810925919.0,0.0
4,1.9884285826799007e+30,116863.7324907158,147445103206356.6,0.0
5,1.9884285826704592e+30,116863.91657583442,177779150238662.06,0.0
6,1.9884285826691244e+30,116863.95908595045,175471295717038.62,0.0
7,1.9884285826801672e+30,116863.73815256105,142559374189797.94,0.0
8,1.9884285825433727e+30,116867.56778194335,229840132548713.9,0.0
9,1.988428582574548e+30,116866.78624891936,154005271579853.3,0.0
10,1.98842858268082e+30,116863.32303058896,344925268688746.25,1.0
11,1.988428582680728e+30,116863.73519692864,138151942848643.66,0.0
12,1.9884285826115847e+30,116865.59005397995,190682227578959.16,0.0
13,1.988428582680846e+30,116863.74993963372,131593010424440.77,0.0
14,1.988428582680844e+30,116863.73801923048,135999053102854.77,0.0
15,1.988428582673606e+30,116863.89750185146,149719886123201.0,0.0
16,1.988428582680837e+30,116863.74999874207,131686323864371.81,0.0
17,1.9884285825923105e+30,116866.29451015932,137344615292667.16,0.0
18,1.988428582678426e+30,116863.79026073363,140427992248092.42,0.0
19,1.988428582680842e+30,116863.7377591266,136098538013462.75,0.0
20,1.9884285826790132e+30,116863.76288438698,144842242288540.88,0.0
21,1.98842858268065e+30,116863.72258248928,143680860763850.44,0.0
22,1.9884285826129367e+30,116865.49846220051,214843629423091.03,0.0
23,1.9884285826805886e+30,116863.71278438898,148057707900896.44,0.0
24,1.9884285826632863e+30,116864.18290532207,150755463635763.47,0.0
25,1.9884285826808462e+30,116863.75088372383,131290927982258.4,0.0
26,1.9884285826807901e+30,116863.72093575685,142926342402786.75,0.0
27,1.988428582675299e+30,116863.82942504116,158310411871283.0,0.0
28,1.988428582673029e+30,116863.84081370401,179777006848506.5,0.0
29,1.9884285825977784e+30,116865.97441012107,203034362523537.03,0.0
30,1.988428582680844e+30,116863.74682225502,132723026432993.58,0.0
31,1.9884285826808495e+30,116863.74827194853,132197831805758.97,0.0
32,1.9884285826755502e+30,116863.82984276774,155376982195456.88,0.0
33,1.9884285826789752e+30,116863.72533244552,160109144488757.44,0.0
34,1.9884285826800516e+30,116863.755133041,137315007909478.36,0.0
35,1.988428582654819e+30,116864.36555280589,174505549639351.56,0.0
36,1.9884285826576248e+30,116864.3562672813,145710212350943.94,0.0
37,1.9884285822113892e+30,116878.42702908539,140690450440693.53,0.0
38,1.988428582676495e+30,116863.79368403197,159561876611209.84,0.0
39,1.988428582680842e+30,116863.74266890963,134292510215261.45,0.0
40,1.988428582680807e+30,116863.72367839291,141727441533789.22,0.0
41,1.9884285826806275e+30,116863.74973845592,133728561256787.48,0.0
42,1.9884285826484225e+30,116864.53248048275,181669251342797.7,0.0
43,1.9884285825780214e+30,116866.598788357,188957867836443.06,0.0
44,1.9884285826720388e+30,116863.8892815555,170705132924066.22,0.0
45,1.9884285826808493e+30,116863.74994431972,131597634114334.66,0.0
46,1.988428582679999e+30,116863.76138074243,135513471776069.61,0.0
47,1.9884285826335527e+30,116864.88469147684,218381658600873.4,0.0
48,1.9884285826144665e+30,116865.62615980617,140363887289258.89,0.0
49,1.9884285826721888e+30,116863.97287595339,135922846755178.03,0.0
50,1.988428582663613e+30,116864.12965608273,168663301769498.2,0.0
51,1.9884285826708836e+30,116863.94383268293,161321261093852.06,0.0
52,1.9884285826806517e+30,116863.74457031029,135406256154374.2,0.0
53,1.988428582662737e+30,116864.11256004058,186793440100796.97,0.0
54,1.9884285826808374e+30,116863.7515136577,131131679835114.4,0.0
55,1.9884285826791024e+30,116863.73181293599,156098004337851.94,0.0
56,1.9884285826655128e+30,116864.10771231927,155714238778318.56,0.0
57,1.988428582641888e+30,116864.7823577097,155981245850019.06,0.0
58,1.9884285825967611e+30,116866.0363600167,188541850235363.3,0.0
59,1.988428582680787e+30,116863.74237379822,134934935137157.0,0.0
60,1.988428582674785e+30,116863.81543566732,169936254089798.38,0.0
61,1.988428582600486e+30,116866.05026428508,137206467484135.36,0.0
62,1.9884285826697096e+30,116863.96289073546,166919614175766.06,0.0
63,1.9884285826801205e+30,116863.75712503027,135916130528466.84,0.0
64,1.9884285826807992e+30,116863.7438740663,134275453762578.42,0.0
65,1.988428582670908e+30,116863.93736986477,163698658834700.94,0.0
66,1.9884285826808403e+30,116863.74000309898,135276347818053.94,0.0
67,1.9884285826531428e+30,116864.38475622605,187100630838468.8,0.0
68,1.9884285826715285e+30,116863.90293492601,170900378583310.88,0.0
69,1.98842858268084e+30,116863.74643047024,132887237666043.86,0.0
70,1.9884285826773545e+30,116863.78909182525,152056286270388.0,0.0
71,1.9884285826805762e+30,116863.72258864324,144408112053421.22,0.0
72,1.9884285823804676e+30,116872.82663837788,167968164400150.94,0.0
73,1.9884285820351603e+30,116883.9315579669,367264862259201.0,0.0
74,1.9884285826519834e+30,116864.51593127432,146294018036172.84,0.0
75,1.9884285826110972e+30,116865.62228632986,182737176629936.0,0.0
76,1.988428582680639e+30,116863.75486916394,131774980623408.22,0.0
77,1.9884285826619637e+30,116864.23358988056,145557886192273.44,0.0
78,1.988428582680825e+30,116863.74277683029,134430992713377.39,0.0
79,1.9884285826692522e+30,116864.06752606244,131151432688887.0,0.0
80,1.9884285825048196e+30,116868.80547335798,206596816630549.5,0.0
81,1.988428582680801e+30,116863.73573098233,137225632556706.52,0.0
82,1.988428582587574e+30,116866.32251143132,183803755743470.16,0.0
83,1.9884285826742847e+30,116863.89308001928,144201991302108.34,0.0
84,1.9884285826764957e+30,116863.79357929135,159602407813704.3,0.0
85,1.9884285826078262e+30,116865.82934406432,138046224699429.03,0.0
86,1.9884285826721325e+30,116863.86114758343,181738527387553.78,0.0
87,1.9884285826808127e+30,116863.72797479872,140040513453224.14,0.0
88,1.9884285826330917e+30,116864.9237207554,206047406182646.25,0.0
89,1.9884285826794385e+30,116863.7309823208,152845845457303.22,0.0
90,1.9884285826091984e+30,116865.74434865023,155117606282051.2,0.0
91,1.9884285826593513e+30,116864.29103498146,152018592550602.84,0.0
92,1.9884285826638324e+30,116864.092398737,182031126848217.38,0.0
93,1.9884285826807918e+30,116863.7329813649,138377427571969.38,0.0
94,1.9884285826598912e+30,116864.21552948633,176937274723784.44,0.0
95,1.9884285826688334e+30,116864.02489090062,151677439136886.47,0.0
96,1.9884285826647486e+30,116864.09162449896,171217559626208.16,0.0
97,1.988428582680533e+30,116863.74282585054,137209284888712.22,0.0
98,1.9884285815965322e+30,116899.32951839297,382209656961449.25,0.0
99,1.9884285826758325e+30,116863.80870554387,160810326321835.47,0.0
100,1.9884285826604108e+30,116864.30268680384,136072643597853.94,0.0
101,1.9884285826805602e+30,116863.7366715396,139217745204473.81,0.0
102,1.9884285826728033e+30,116863.91395749111,151949721440120.3,0.0
103,1.988428582680429e+30,116863.75460039143,133852820881449.78,0.0
104,1.988428582669682e+30,116863.96982459805,164370450750836.8,0.0
105,1.9884285826779988e+30,116863.79755111253,142027449728630.9,0.0
106,1.9884285826205238e+30,116865.43544943426,144828946955878.5,0.0
107,1.9884285826704665e+30,116863.91466156831,178522424756949.44,0.0
108,1.9884285826808363e+30,116863.75020753233,131600951424896.9,0.0
109,1.9884285826551999e+30,116864.31828229383,190548145787917.28,0.0
110,1.988428581647994e+30,116897.90111871138,155794152458758.94,0.0
111,1.988428582608426e+30,116865.79250950804,145236899337659.56,0.0
