Radii [solar],Teff [K],Lsurf [solar],Pc,Rhoc,Tc [K],Mass [solar]
0.14043723076100229,2800.0,0.0010921701883611983,2.2299299857294196e+16,304881.68914365955,4776874.500784381,0.1
0.1497833489103323,2873.684210526316,0.0013784052489248424,2.1052200511265904e+16,277749.44367871666,4950262.692830667,0.1105263157894737
0.1586856410264633,2947.3684210526317,0.0017120113659865339,2.004556049024815e+16,255822.92295224196,5117557.054312698,0.12105263157894737
0.16718775597667443,3021.0526315789475,0.0020976633064023584,1.9220965403304132e+16,237766.74653140455,5279685.1900525205,0.13157894736842107
0.17532630357506157,3094.7368421052633,0.00254028668591475,1.8537547465283132e+16,222662.4824675869,5437373.612996283,0.14210526315789473
0.1833536908752271,3157.8947368421054,0.00301205979587758,1.7879296371562362e+16,209099.76290049843,5584455.428034211,0.15263157894736842
0.19177376941075394,3189.4736842105262,0.0034288475813570255,1.7071812153881894e+16,195352.32861767153,5707487.604568844,0.1631578947368421
0.19996296025326055,3221.0526315789475,0.0038777881386911853,1.636600593232911e+16,183438.19992400828,5826890.679417094,0.17368421052631577
0.20793635241951128,3252.6315789473683,0.004360075579574505,1.574444866956324e+16,173021.98596960044,5943059.943507363,0.1842105263157895
0.21570780009924087,3284.2105263157896,0.004876961560540346,1.5193334644450274e+16,163843.30031482404,6056313.697499334,0.19473684210526315
0.2235516969860146,3305.2631578947367,0.0053737046289201885,1.4632899318364852e+16,155151.22416586423,6159693.80013107,0.20526315789473684
0.231503355868754,3315.7894736842104,0.005836547900486407,1.406214604132543e+16,146871.1503243805,6253152.97929974,0.21578947368421053
0.2393167169441866,3326.315789473684,0.0063167495823640805,1.354433914896846e+16,139435.66071401283,6344069.133113355,0.22631578947368422
0.24699909734706896,3336.842105263158,0.006814390829433863,1.3072438796519246e+16,132724.44799381658,6432645.752976664,0.2368421052631579
0.2545570672553584,3347.3684210526317,0.0073295625380822935,1.264061298238045e+16,126638.83127272091,6519063.131761525,0.24736842105263157
0.2619967375697676,3357.8947368421054,0.007862375042550688,1.2243953752071774e+16,121096.87671494448,6603477.225162355,0.2578947368421053
0.2693233426193882,3368.421052631579,0.008412927808932701,1.1878385690119868e+16,116030.6434707015,6686035.341870221,0.26842105263157895
0.2765422507735988,3378.9473684210525,0.008981365555631716,1.154034574828039e+16,111382.22835602399,6766854.899907967,0.2789473684210526
0.283657592889255,3389.4736842105262,0.009567788582351933,1.1226923943779152e+16,107103.57378612737,6846060.993587169,0.2894736842105263
0.290673982547782,3400.0,0.010172358756618509,1.0935486824828276e+16,103152.76773053911,6923746.8799540065,0.3
