Radii [solar],Teff [K],Lsurf [solar],Pc,Rhoc,Tc [K],Mass [solar]
0.3520344825506706,2800.0,0.006862718972670486,564780161788755.0,19356.306767868668,1905640.1001468478,0.1
0.3778266659874098,2873.684210526316,0.008770716175878655,519973510683112.1,17304.776285643267,1962452.6029159739,0.1105263157894737
0.40263780788162135,2947.3684210526317,0.011022002072116434,483626973078920.9,15660.610551969301,2016906.5243169325,0.12105263157894737
0.4265579049414193,3021.0526315789475,0.013654721080745927,453608404732634.5,14316.2916446672,2069352.622381683,0.13157894736842107
0.44966289660927167,3094.7368421052633,0.016709470437191128,428442325082605.6,13198.577148142645,2120065.1063536275,0.14210526315789473
0.4724864349947316,3157.8947368421054,0.020001518351720902,405463413239291.8,12219.529292617515,2167110.923025094,0.15263157894736842
0.4961047833817117,3189.4736842105262,0.02294650779429171,381191127882867.56,11284.074968755984,2206280.7061288883,0.1631578947368421
0.5192022182111977,3221.0526315789475,0.026143157633568826,360076498691158.2,10479.217021051956,2244139.698290768,0.17368421052631577
0.5418110727143187,3252.6315789473683,0.029602536637892137,341552633259281.0,9780.226845256533,2280828.6303056376,0.1842105263157895
0.56396044413927,3284.2105263157896,0.033336110035221016,325178577428811.9,9168.120332693265,2316464.0676037674,0.19473684210526315
0.5862411257236778,3305.2631578947367,0.036954762253481765,309411992036458.06,8603.205061525936,2348879.908815168,0.20526315789473684
0.6087335651853901,3315.7894736842104,0.04035487166762184,294151976642257.4,8078.423593387487,2378094.4279419053,0.21578947368421053
0.6309096695893512,3326.315789473684,0.04390176238795642,280402079969254.7,7610.1184597113415,2406432.9177136226,0.22631578947368422
0.6527853499807567,3336.842105263158,0.04759672866116433,267951680203739.5,7189.94930662389,2433966.5321618062,0.2368421052631579
0.674374947289203,3347.3684210526317,0.05144114102866683,256627419976464.62,6811.113009307286,2460758.0675177234,0.24736842105263157
0.6956916767326502,3357.8947368421054,0.05543647461747125,246285012717947.88,6468.00236458098,2486862.4240759187,0.2578947368421053
0.7167472579618461,3368.421052631579,0.059584218931381945,236804115458427.9,6155.971039663254,2512329.649176987,0.26842105263157895
0.7375530186795937,3378.9473684210525,0.06388602637244685,228082420927967.12,5871.115815492387,2537202.3939771038,0.2789473684210526
0.7581185964844118,3389.4736842105262,0.06834347287992502,220034020089259.5,5610.166520720332,2561521.628963085,0.2894736842105263
0.7784536668508996,3400.0,0.07295832988289315,212584546400262.84,5370.331096067127,2585321.60030853,0.3
